MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367774150,2022-03-31T00:00:02,30.0691,-90.90375,3.2,328.6,335,SCF MARINER,,WDJ4074,31,15,,,,57,A
367534010,2022-03-31T00:00:03,30.15823,-90.9973,0.1,56.5,347,SOPHIA GOLDING,,WDG4196,31,12,27,,,57,A
354499000,2022-03-31T00:00:04,29.18968,-94.63571,0.2,193.5,107,MSC ESTHI,IMO9304411,3EFU3,70,1,336,45,15,71,A
368926035,2022-03-31T00:00:04,38.58866,-90.20667,0,360,511,KIMMSWICK,,AENA,33,15,,,,33,A
368070780,2022-03-31T00:00:05,21.31383,-157.86673,0,287,511,RAINBOWS,IMO0000000,WDK6055,30,,0,0,,,B
368112480,2022-03-31T00:00:07,48.10715,-122.77666,1.1,360,511,JESTER,IMO0000000,WDL2486,37,,12,6,,,B
368044430,2022-03-31T00:00:08,29.76417,-95.10827,0,325.4,0,CORYELL,,WDK3354,57,12,116,34,3.1,57,A
367696750,2022-03-31T00:00:08,25.57446,-79.63322,8.5,336.7,511,LEAP OF FAITH,IMO0000000,WDL3426,36,,13,6,,,B
367384780,2022-03-31T00:00:08,45.58756,-122.7707,0,311.7,137,CAROLYN DOROTHY,IMO9552288,WDE6786,31,0,23,10,,52,A
367560990,2022-03-31T00:00:09,27.63564,-82.56339,0,226.7,176,ATLAS,IMO9641754,WDG6819,31,0,28,12,,52,A
367743710,2022-03-31T00:00:01,33.00909,-79.92096,0.2,253,158,ISLAND MERCHANT,IMO8971592,WDI8942,31,0,19,,,52,A
368163520,2022-03-31T00:00:01,37.1654,-89.08592,0,101.7,40,WALLER,,WDL7792,52,12,218,32,3,57,A
368157190,2022-03-31T00:00:09,47.64453,-122.31387,0,360,511,OTIS 2,IMO0000000,WDL7111,37,,14,5,,,B
367625810,2022-03-31T00:00:01,33.768,-118.22268,1.3,171.1,170,VETERAN,IMO9765720,WDH5227,31,0,31,12,,52,A
368123940,2022-03-31T00:00:04,33.61557,-117.90354,0,360,511,REVE D'O,IMO0000000,WDL3676,36,,14,8,,,B
356436000,2022-03-31T00:00:00,26.06004,-80.13008,0,46.4,261,EVERGLORY,IMO8512889,3EPI9,70,0,225,32,13.2,70,A
369494415,2022-03-31T00:00:02,30.1703,-85.75557,0,279.3,1,CG49415,,,90,0,14,,,51,A
338361065,2022-03-31T00:00:06,47.66621,-122.38829,0,360,511,ESCAPE,IMO0000000,,37,,18,5,,,B
366972280,2022-03-31T00:00:04,29.77964,-95.09884,0,258.1,511,JOEY DEVALL,,WYB7063,31,0,18,7,,31,A
368220140,2022-03-31T00:00:07,18.34024,-64.79517,0.1,360,511,LECHOIX,IMO0000000,1318668,36,,0,0,,,B
368132890,2022-03-31T00:00:07,28.40915,-80.66608,0,302.3,101,BAYOU BANDIT,IMO739103200,WDL4590,0,0,0,0,3,0,A
368098250,2022-03-31T00:00:08,25.75557,-80.18413,6.5,351.7,511,ABBE OF MY EYE,IMO0000000,WDK8869,37,,13,4,,,B
367438530,2022-03-31T00:00:01,29.71237,-93.16237,9.6,111.6,511,CAPT PEYTON P,IMO9593050,WDF3321,60,0,44,9,,60,A
366999521,2022-03-31T00:00:02,38.58757,-90.20843,0,212.6,511,CG CHENA,,NAMM,90,0,22,6,,55,A
338073736,2022-03-31T00:00:04,24.55644,-81.80798,0,360,511,MISCELLANEOUS,IMO0000000,,37,,21,6,,,B
367482310,2022-03-31T00:00:04,18.00574,-66.7651,0.1,232.9,511,DON OSCAR P,IMO7621839,WDF7223,31,0,30,9,3,52,A
367543860,2022-03-31T00:00:04,40.49733,-80.07156,0,308.5,41,GEORGETOWN,IMO7202413,WDG5154,31,12,25,9,,57,A
316029864,2022-03-31T00:00:05,49.16322,-122.99342,0,360,511,MALAHAT II,IMO0000000,,30,,13,5,,,B
211334250,2022-03-31T00:00:08,30.15486,-85.63739,0,245.5,511,PIA,IMO0000000,DLFZ,37,,15,5,,,B
368067690,2022-03-31T00:00:08,37.04757,-89.18079,0,120.5,283,MARK GLAAB,,WDK5725,31,0,23,10,0,52,A
367369920,2022-03-31T00:00:09,29.59827,-90.67256,0,269.9,511,HARRY B SETTOON,,WDE5658,31,0,15,6,,12,A
367446290,2022-03-31T00:00:14,29.78458,-92.15265,0,360,511,MISS QUYNH ANH III,IMO8970031,WDF3970,30,,27,8,,,B
368216940,2022-03-31T00:00:16,26.76049,-82.0561,0,165.2,511,KALANI,IMO0000000,WDM5544,37,,11,6,,,B
366960370,2022-03-31T00:00:19,48.49213,-122.68009,0,84.3,511,XARA,IMO0000000,WDB8555,36,,10,4,,,B
367079510,2022-03-31T00:00:00,29.95973,-90.29093,3.8,245.3,249,JOE RAY BEAUBOUEF,,WDC7955,31,12,22,9,,57,A
366816890,2022-03-31T00:00:01,29.54576,-90.70128,0,231.7,511,BUNNY BORDELON,IMO9260756,WDA5139,90,0,44,10,3,90,A
338425161,2022-03-31T00:00:05,26.00176,-80.12194,0,360,511,PSYPHON II,IMO0000000,,37,,15,5,,,B
316047137,2022-03-31T00:00:05,26.0621,-80.13147,0,360,511,CUZ WE CAN,IMO0000000,,37,,20,6,,,B
636019181,2022-03-31T00:00:05,28.18381,-94.41764,10.1,182.2,179,PACIFIC JADE,IMO9867803,D5TH8,80,0,183,32,12.3,80,A
368013140,2022-03-31T00:00:08,18.31738,-64.95761,0.2,360,511,HELIADES,IMO0000000,WDJ8104,36,,12,6,,,B
367309420,2022-03-31T00:00:09,46.08923,-122.9286,0,250,194,PARAGON,IMO7802627,WDD9285,31,0,30,9,4.1,32,A
338247984,2022-03-31T00:00:00,30.38756,-86.3275,0,90.7,511,KEEPIN' IT REEL,IMO0000000,,37,,14,4,,,B
367641670,2022-03-31T00:00:01,37.77062,-87.94571,0,360,511,WILLIAM JOSEPH,,WDH6793,31,1,15,,,99,A
368176970,2022-03-31T00:00:01,26.05949,-80.13327,0.5,360,511,JACK OF HEARTS,IMO0000000,WDL9209,37,,20,6,,,B
367432090,2022-03-31T00:00:01,29.78887,-92.14719,0,269.5,511,R/V SUNCOASTER,IMO367432090,WDF2805,90,0,36,8,3,90,A
367081260,2022-03-31T00:00:07,47.63432,-122.32909,0,360,511,ALASKA VENTURE,,WDC8074,90,0,20,7,,33,A
368194140,2022-03-31T00:00:06,47.65716,-122.38106,0,157.8,94,SHARON MAE,IMO0000000,WDM3099,30,,14,6,,,B
367650190,2022-03-31T00:00:05,30.50862,-91.24222,0,282.9,247,TY DOLESE,,WDH7645,31,12,26,,,90,A
367080810,2022-03-31T00:00:05,29.99594,-92.79041,0,348.9,511,ZOIE,,WDC8046,31,0,14,6,,31,A
366919170,2022-03-31T00:00:03,37.06173,-88.48093,4.8,65.8,71,CHARLES SOUTHERN,,WY2704,31,0,34,10,,31,A
367384460,2022-03-31T00:00:05,46.45919,-124.57193,6.8,320,320,MAVERICK,IMO8855073,WDE6757,30,5,25,7,,30,A
338124129,2022-03-31T00:00:06,25.95753,-80.12754,0,153.6,511,CIN TAX,IMO0000000,WDF3264,37,,24,5,,,B
368051280,2022-03-31T00:00:06,45.60226,-122.62865,0,120.9,511,ALPENGLOW,IMO0000000,WDK4045,37,,11,4,,,B
366759130,2022-03-31T00:00:01,47.79657,-122.46426,17.8,217.6,216,WSF PUYALLUP,IMO9137363,WCY7938,60,0,138,27,5.3,60,A
367153110,2022-03-31T00:00:01,27.83528,-97.38628,0,198.6,511,EMMA D,,WDD5060,31,12,19,6,,52,A
367394940,2022-03-31T00:00:01,28.41571,-80.62341,0,270.1,175,ESCAMBIA,IMO9190951,WDE7575,31,0,27,15,1.6,31,A
367721050,2022-03-31T00:00:02,41.76364,-90.26025,0,360,511,WANDA ISABELLE,IMO8635411,WDI6672,31,0,17,6,,31,A
368188450,2022-03-31T00:00:06,26.28411,-80.08424,0,360,511,NALADHU,IMO0000000,,37,,16,6,,,B
316040291,2022-03-31T00:00:05,48.68249,-123.40315,0,163.7,313,SONIC,IMO0000000,,37,,9,3,,,B
368142750,2022-03-31T00:00:04,29.92887,-89.9741,0.1,336.6,285,NYQUIST,,WDL5618,31,0,21,9,0,31,A
338570000,2022-03-31T00:00:09,30.70984,-81.4144,3.1,263.9,230,BAYPORT,IMO8993784,WCZ4240,90,3,90,16,,33,A
338124935,2022-03-31T00:00:14,26.83573,-80.05654,0,293.3,62,TRUE JOY,,,37,0,29,7,,37,A
367793110,2022-03-31T00:00:24,29.14931,-80.97466,0.1,360,511,FISH HOUND,IMO0000000,,30,,12,0,,,B
338230503,2022-03-31T00:00:26,18.07929,-65.79638,0,127.4,511,DAGNY T,IMO0000000,,36,,12,6,,,B
338143353,2022-03-31T00:00:00,26.70206,-80.04516,0.1,265.3,11,MISS TRACY,,,37,0,35,7,2.1,37,A
564702000,2022-03-31T00:00:01,18.24838,-64.61832,10.4,244.6,240,EPIC CURACAO,IMO9698288,9V2515,80,0,95,15,5.5,80,A
368040690,2022-03-31T00:00:03,47.80902,-122.3915,2,172,511,KING'S LEGEND,IMO0000000,WDK2976,37,,16,5,,,B
316028723,2022-03-31T00:00:02,48.67973,-123.38788,25,176.7,511,TYMAC SPRAY,,,50,,11,,,,B
368207390,2022-03-31T00:00:12,47.61675,-122.51276,0,360,511,GADABOUT,IMO0000000,WDM4545,37,,11,5,,,B
366991260,2022-03-31T00:00:07,29.44777,-91.30829,0.1,47.5,511,CAPT JOHN E GRAHAM,IMO8988428,WDC2329,90,3,41,10,,33,A
367571770,2022-03-31T00:00:07,27.8241,-97.43521,0,345.8,20,COLT CLARY,,WDG7880,31,12,23,,,57,A
367498970,2022-03-31T00:00:05,47.55409,-122.1942,0,142.6,511,BLUE LEADER,IMO0000000,WDF8824,37,,15,5,,,B
316011408,2022-03-31T00:00:04,49.00952,-123.23749,18.9,105.9,106,COASTAL INSPIRATION,IMO9332767,CFN4970,60,0,160,28,5.8,60,A
368072040,2022-03-31T00:00:04,29.49649,-94.86826,7.1,145.7,147,M/ V COTTLE,,WDK6182,57,12,119,34,3.1,57,A
367014390,2022-03-31T00:00:03,29.63875,-89.9269,0.1,310.2,302,OSCAR WALTERS,,WDC3799,31,0,18,7,,31,A
338391954,2022-03-31T00:00:09,31.97778,-81.05545,0,0,511,TEMPEST,IMO0000000,,36,,7,2,,,B
368926303,2022-03-31T00:00:09,30.7887,-81.49683,0,265.7,135,USNS WESTWIND,IMO9472359,NWES,99,0,76,17,4.3,99,A
367379190,2022-03-31T00:00:08,30.37054,-88.56409,0,245.5,511,EAGLE,IMO8207721,WTD4583,31,0,28,11,3.3,52,A
367530590,2022-03-31T00:00:02,27.87201,-97.15886,0,240.3,304,CAPT PAUL E LORD,,WDG3876,31,12,20,,,52,A
316020878,2022-03-31T00:00:04,48.43225,-123.37207,0,84.3,163,ROSE MACKENZIE,IMO7233254,CFG7415,31,0,22,7,3.7,31,A
367688280,2022-03-31T00:00:05,29.75823,-95.0979,0,280.2,110,LOUISE CENAC,,WDI3433,31,12,21,,,57,A
367171050,2022-03-31T00:00:05,30.5139,-91.22441,0,262.8,511,GEORGE E MARBLE,,WDD6300,31,0,15,6,,52,A
210080000,2022-03-31T00:00:09,30.28172,-91.21723,7.5,297,303,VIRGEN DEL CISNE,IMO9428372,5BQP5,89,0,183,32,8,89,A
338339802,2022-03-31T00:00:19,48.10777,-122.77319,0,320.9,511,SOL DUC,IMO0000000,,30,,4,4,,,B
367312950,2022-03-31T00:00:19,29.55521,-90.5274,0,360,511,NICHOLAS D,,WDD9546,31,15,16,7,,31,A
367400840,2022-03-31T00:00:00,29.77961,-92.18367,102.3,360,293,DRY TORTUGAS,IMO9585089,WDE8043,90,0,49,12,3.7,79,A
303868000,2022-03-31T00:00:01,21.3074,-157.8729,0.1,0,304,CGC MIDGETT,,NMID,55,5,140,18,6.8,55,A
367418130,2022-03-31T00:00:01,24.56261,-81.79949,0,0.9,340,REEL OBSESSION,IMO0000000,WDE9513,37,,21,6,,,B
368222160,2022-03-31T00:00:02,36.99627,-89.1568,0,239.3,128,SALLY LAPEYRE,IMO1313275,WDM6099,57,2,227,22,2.9,57,A
368129630,2022-03-31T00:00:02,30.04621,-90.4745,0,360,511,BURRWOOD WISE,,WDL4248,52,0,20,8,3,52,A
368077270,2022-03-31T00:00:05,18.55858,-65.81738,9.5,283.9,511,JEANNE,IMO0000000,WDK6709,36,,12,6,,,B
367549260,2022-03-31T00:00:03,29.9267,-89.96876,0,279.3,291,ROGER F WICKER,,WDG5692,31,0,24,,,57,A
368110390,2022-03-31T00:00:04,29.78563,-95.06627,0.1,61.5,511,PEARL RIVER,,WDL2253,52,12,204,16,2.6,57,A
319106300,2022-03-31T00:00:07,25.78444,-80.17884,0,136,136,LEUDIN I,IMO9710127,ZGFM6,37,0,40,8,2.5,37,A
368221370,2022-03-31T00:00:17,48.51256,-122.60889,0,216.8,511,VICKY JR,IMO0000000,WDM6013,37,,3,2,,,B
368197950,2022-03-31T00:00:19,27.76058,-82.63486,0.1,360,511,SECOND WIND,IMO0000000,,36,,13,8,,,B
367473140,2022-03-31T00:00:02,32.74603,-79.85187,0.1,268.3,511,VIRGINIAN,,WDF6332,90,3,54,18,,33,A
369970762,2022-03-31T00:00:00,32.72055,-117.61943,12,292.7,296,RSC-1,,,35,0,,,,35,A
368017210,2022-03-31T00:00:02,48.49268,-122.68032,0,20.6,511,SEA ESTA,IMO0000000,WDJ8515,37,,13,5,,,B
368186370,2022-03-31T00:00:03,25.31101,-80.27967,0,360,511,VICTORY,IMO0000000,WDM2246,37,,24,4,,,B
368174460,2022-03-31T00:00:03,30.08837,-91.31006,0,177.5,4,VAN PORT,IMO0000529,WDL8948,57,12,209,22,2.8,57,A
367007540,2022-03-31T00:00:04,28.76234,-95.65033,4.4,99.1,511,BROWN WATER VII,,WDC3416,31,0,17,6,,31,A
367710960,2022-03-31T00:00:06,28.32083,-96.66006,5.5,62.7,57,CAPT TROY GREEN,,WDI5675,31,0,,,,52,A
368106960,2022-03-31T00:00:08,47.39402,-122.46303,0,360,511,KAI MANU,IMO0000000,WDK9825,37,,3,0,,,B
366989960,2022-03-31T00:00:09,34.65877,-90.57762,10,214.3,205,TWYLA LUHR,,WDC2245,31,0,45,14,,31,A
338216539,2022-03-31T00:00:12,47.64973,-122.33013,0,184.3,511,CELEBRATE,IMO0000000,,37,,18,6,,,B
366959090,2022-03-31T00:00:03,29.77797,-95.10082,0.1,33.9,511,DANIELLE,,WDB8475,31,0,16,6,,52,A
240975000,2022-03-31T00:00:01,29.02183,-89.34005,9.6,32,39,KIMOLOS,IMO9405540,SVAV7,80,0,183,32,13.3,80,A
368023390,2022-03-31T00:00:06,24.57767,-81.80828,0.2,349.6,511,VAGABOND,IMO0000000,WDJ9170,37,,13,7,,,B
368207090,2022-03-31T00:00:00,28.94523,-89.40135,11.6,210.3,511,CAPT. BOB MOORE,,WDM4514,50,15,18,6,0,50,A
367702430,2022-03-31T00:00:01,29.99716,-90.80373,0,254.4,218,SAFETY GLORY,,WDI4827,31,0,21,8,,32,A
636016978,2022-03-31T00:00:02,32.16355,-79.84809,7.4,224.2,220,MSC TAVVISHI,IMO9189366,D5IR7,99,0,278,40,13.6,99,A
367515290,2022-03-31T00:00:05,30.04858,-90.56709,0,350.2,511,LADY OF FATIMA,,WDG2402,31,0,18,7,,57,A
564411000,2022-03-31T00:00:04,29.95339,-90.30581,0.1,249.3,216,THOR MONADIC,IMO9331220,9V8978,70,0,189,32,12.6,70,A
367638120,2022-03-31T00:00:11,36.98988,-89.1484,0.1,294,124,KELLY RAE ERICKSON,,WDH6453,31,12,51,13,,57,A
367070360,2022-03-31T00:00:14,46.16741,-123.91747,1.4,70.2,511,SOJOURN,,WDC7370,30,,17,6,,,B
316005616,2022-03-31T00:00:00,49.44258,-123.7416,2.5,167.3,511,STORM BANDIT,IMO8006309,CZ7389,31,11,20,8,3,52,A
377117000,2022-03-31T00:00:03,26.27292,-80.08065,0,348.8,7,ANTITHESIS,,J8Y4320,37,0,39,7,,37,A
368210950,2022-03-31T00:00:04,29.23546,-95.02227,5.9,232.5,226,CHRIS MILLER,IMO1307034,WDM4918,52,12,24,12,2.7,57,A
257435000,2022-03-31T00:00:05,29.50263,-89.70417,14.3,151.5,154,OSLO BULK 6,IMO9589968,LAHC8,70,0,108,18,4.3,70,A
366847780,2022-03-31T00:00:06,29.65443,-91.12341,0,360,511,PACIFIC DAWN,IMO7400467,WDA7844,31,0,32,8,3.6,31,A
367453020,2022-03-31T00:00:00,25.86906,-80.05932,5.5,356.7,511,DIRK C,IMO7509469,WDF4536,31,0,27,9,3.3,31,A
367665030,2022-03-31T00:00:01,32.64538,-117.19291,4.2,220.3,219,OCEAN GRAND,IMO9681821,WDH9141,70,1,170,25,9.5,70,A
367189030,2022-03-31T00:00:00,30.29043,-88.51271,0,360,322,MISSOURI H,,WRS7131,33,3,54,0,,33,A
367442770,2022-03-31T00:00:00,38.56362,-82.80687,0,360,511,GARRY LACEY,,WDF3677,31,0,21,8,,31,A
367561870,2022-03-31T00:00:02,30.0405,-90.83822,8.1,173.6,179,SAVAGE DESTINY,,WDG6904,31,12,25,,,57,A
209513000,2022-03-31T00:00:01,26.09387,-80.08081,28.3,272.6,511,OCEAN PEARL,IMO9060247,C4BQ2,70,0,169,27,9.8,49,A
368059470,2022-03-31T00:00:01,38.31697,-85.66319,0.1,242.5,511,JACOB TODD,,WDK4876,31,0,23,9,2.9,31,A
366837890,2022-03-31T00:00:02,29.738,-95.12638,0.5,360,511,CAPT CRAIG,,WDG7988,31,0,13,5,,31,A
367599550,2022-03-31T00:00:02,28.30034,-96.69324,6.6,52.3,48,MARY DUPRE,,WDH2629,31,0,20,7,,57,A
338225000,2022-03-31T00:00:02,26.12165,-94.8541,1.1,128.6,139,HARVEY ENERGY,IMO9654220,KHEK,90,0,92,19,6.1,39,A
538070338,2022-03-31T00:00:04,26.09699,-80.16318,0,21.9,90,KAUHALE KAI,,V7MC9,37,0,23,7,,37,A
367508430,2022-03-31T00:00:05,29.72639,-95.22745,0,183.6,511,GOVERNOR MIKE HUCKAB,,WDF9748,31,0,24,,,57,A
319129600,2022-03-31T00:00:06,27.20961,-95.80106,10.5,117.4,115,SCORPIO,IMO9389071,ZGHE8,80,0,244,42,13.7,80,A
368187930,2022-03-31T00:00:07,30.09388,-91.31013,0,265.9,511,ADRIENNE M MOORE,IMO101307049,WDM2420,57,0,207,23,2.8,57,A
366995460,2022-03-31T00:00:02,30.18729,-91.12978,5.3,218.6,215,ATLAS,IMO8842258,WDC2601,31,12,21,7,,57,A
367473490,2022-03-31T00:00:05,29.8742,-89.95232,0,256.3,309,ST THOMAS,,WDF6366,31,12,23,10,,57,A
367007480,2022-03-31T00:00:04,29.69896,-95.00159,7.1,113.5,511,BROWN WATER I,,WDC3411,31,0,16,6,,31,A
367600750,2022-03-31T00:00:09,29.74024,-95.1633,0,278.8,180,SAVAGE INNOVATOR,,WDH2744,31,0,22,,,52,A
367007110,2022-03-31T00:00:09,30.08516,-90.91109,0,360,511,CECILIA B SLATTEN,IMO8964757,WDC3386,31,3,29,11,4,31,A
636019582,2022-03-31T00:00:00,48.48579,-124.63298,9.3,291,289,MSC ARICA,IMO9619452,D5VE2,71,0,299,48,12.1,71,A
366986820,2022-03-31T00:00:03,41.47393,-90.64025,5.4,53.4,511,TROJAN,,WDC2036,31,0,19,7,,31,A
367352630,2022-03-31T00:00:02,30.402,-91.21446,0.4,113.5,511,JESSICA RYAN,,WDE4399,31,0,18,7,,31,A
636020655,2022-03-31T00:00:09,48.96478,-123.56615,12.7,135.9,136,KAGAWA MARU,IMO9885075,5LAB4,70,0,250,43,7.6,70,A
356727000,2022-03-31T00:00:09,29.76361,-95.08054,9.5,287,274,CENTURY MELODY,IMO9580211,3FCS6,70,0,137,23,8.3,70,A
367436440,2022-03-31T00:00:13,47.05795,-122.89805,0,0,511,SWEET SPOT,,WDF3145,37,,14,5,,,B
636019200,2022-03-31T00:00:00,29.4433,-93.65433,7.3,177.9,179,CHEM GALLIUM,IMO9740782,D5TK4,80,0,147,24,10,80,A
367535280,2022-03-31T00:00:02,36.26611,-89.55817,3.6,358.8,352,JANICE E STRAIT,,WDG4317,31,12,56,13,,31,A
367557410,2022-03-31T00:00:02,30.05956,-93.4652,5.7,268.8,268,ALEX D,,WDG6475,31,12,23,,,57,A
367537770,2022-03-31T00:00:02,40.1215,-91.51236,0.8,360,511,SIR J-ETTE,,WDG4552,31,15,15,,,31,A
367098050,2022-03-31T00:00:06,47.53817,-122.32905,0,263.9,146,GRETCHEN H,IMO8964587,WDC9138,31,0,24,9,2.8,32,A
308017000,2022-03-31T00:00:04,26.30462,-79.30937,13,91.4,100,CARNIVAL SUNSHINE,IMO9070058,C6FN4,60,0,272,35,8.3,69,A
338356082,2022-03-31T00:00:04,18.46044,-66.12071,19.8,130.1,125,HARBOR THUNDER,,,50,0,0,0,0,50,A
367749970,2022-03-31T00:00:00,29.94606,-90.37453,0,281.9,511,LOUISIANA PARADISE,,WDI9569,31,0,,,,31,A
316014107,2022-03-31T00:00:02,49.30212,-123.02312,0,155.4,348,SST GRIZZLY,IMO9756482,CFA2897,31,0,32,13,5.8,31,A
316027744,2022-03-31T00:00:03,49.29144,-122.95908,0,221.9,511,JOHN M LEDCOR,,,31,0,12,5,0.4,52,A
366982350,2022-03-31T00:00:05,29.25429,-89.97265,0,236,511,MS CHRISTINE,IMO9117026,WDI6837,60,0,46,9,,0,A
367712180,2022-03-31T00:00:07,35.10244,-92.54503,0,360,511,JEFFREY LEE,,WDI5793,31,15,14,,,31,A
366945650,2022-03-31T00:00:08,34.72733,-90.47434,6.4,91,80,SALLY ARCHER,,WDB7650,31,12,56,15,,57,A
367450580,2022-03-31T00:00:00,46.1687,-123.91403,0,172.1,511,GRUMPY J,IMO7049433,WDF4332,30,7,21,6,,30,A
248432000,2022-03-31T00:00:05,25.83653,-79.98413,9.9,181,179,CMA CGM NERVAL,IMO9406623,9HA2361,70,0,299,40,14.5,74,A
255806154,2022-03-31T00:00:05,29.45907,-93.66731,7.5,180.9,178,NORDTULIP,IMO9521447,CQAE8,89,0,229,42,8.2,89,A
368584000,2022-03-31T00:00:04,29.13599,-90.20224,0.1,297.2,342,HARVEY SPIRIT,IMO9388106,WDD4830,90,0,85,18,5,90,A
368078510,2022-03-31T00:00:09,27.84334,-97.52462,0,202.4,283,MCCULLOCH,IMO1252854,WDK6827,57,0,207,16,3,57,A
368181070,2022-03-31T00:00:01,33.60041,-117.88354,5,114.1,105,GRATITUDE,IMO0000000,WDL9665,37,,0,0,,,B
366995360,2022-03-31T00:00:01,30.34193,-91.2287,8.8,138.5,129,UNCLE BUD,,WDC2592,31,12,16,8,,57,A
368174450,2022-03-31T00:00:03,29.75126,-91.72724,0.1,248.4,111,TREY DELOACH,IMO7048154,WDL8947,57,15,82,12,2.7,57,A
367587010,2022-03-31T00:00:03,30.47707,-91.19492,4,0.5,511,JACKSON MCKINNEY,,WDG9363,31,0,15,7,,52,A
367699340,2022-03-31T00:00:04,40.50489,-80.09003,0.7,293.6,511,ARTHUR E SNIDER,,WDI4504,31,12,43,10,,32,A
367104560,2022-03-31T00:00:04,30.07737,-90.90212,4,298.7,511,JOREE,,WDC9613,31,0,17,6,,0,A
366991110,2022-03-31T00:00:05,29.67437,-91.22999,0.1,360,511,CAPT TIMMY,,WDH6754,31,0,16,6,,99,A
248516000,2022-03-31T00:00:08,27.47552,-95.55095,16.3,258.8,260,CASTILLO DE MERIDA,IMO9742807,9HA4686,80,0,297,49,9.5,80,A
367365210,2022-03-31T00:00:09,29.76363,-95.10823,0,310.7,511,ALFRED P CENAC III,,WDE5335,31,0,19,8,,52,A
367587990,2022-03-31T00:00:01,27.85353,-97.174,0,233.3,180,"KEN""WEWA""STRICKLAND",,WDG9458,31,12,20,,,57,A
368251000,2022-03-31T00:00:03,47.28433,-122.40999,0,219.7,309,SEA TRADER,IMO7517698,WDE7566,30,5,84,18,4.7,30,A
368198210,2022-03-31T00:00:05,27.82791,-97.49664,0,177.9,307,BEN HAYS,,WDM3545,52,0,24,10,3.1,52,A
477004700,2022-03-31T00:00:04,28.05393,-86.11736,16.5,98.1,97,COSCO VENICE,IMO9484405,VRME4,70,0,261,32,11,70,A
367519920,2022-03-31T00:00:01,29.68664,-91.17739,0,312.3,359,BIG EDDIE,,WDG2850,31,15,20,8,,38,A
